market_slug,ticker,earnings_date,eps_type,accounting_basis,eps_target,actual_eps,consensus_mean,beat_prob_last,sigma,implied_eps_t,implied_eps_ecdf
aapl-quarterly-earnings-gaap-eps-01-29-2026-2pt67,AAPL,2026-01-29,gaap,GAAP,2.67,2.84,2.66,0.9466416752453384,0.20405547374093247,3.09,2.93
aapl-quarterly-earnings-gaap-eps-10-30-2025-1pt76,AAPL,2025-10-30,gaap,GAAP,1.76,7.46,1.75,0.999,0.20169546501114155,3.21,2.37
abnb-quarterly-earnings-gaap-eps-02-12-2026-0pt66,ABNB,2026-02-12,gaap,GAAP,0.66,4.03,0.66,0.5342858016292087,1.3642535976818528,0.78,0.64
abnb-quarterly-earnings-gaap-eps-11-06-2025-2pt32,ABNB,2025-11-06,gaap,GAAP,2.32,2.21,2.32,0.7453149502475523,1.356781787238397,3.3,2.38
acm-quarterly-earnings-nongaap-eps-02-09-2026-1pt16,ACM,2026-02-09,nongaap,Non-GAAP,1.16,1.29,1.17,0.7880008188657683,0.058309518948452994,1.21,1.14
acm-quarterly-earnings-nongaap-eps-11-18-2025-1pt34,ACM,2025-11-18,nongaap,Non-GAAP,1.34,5.26,1.34,0.9490359858665816,0.05765624358421578,1.46,1.34
acn-quarterly-earnings-gaap-eps-12-18-2025-3pt44,ACN,2025-12-18,gaap,GAAP,3.44,3.54,3.52,0.902975393009228,0.26985967172632974,3.86,3.71
adbe-quarterly-earnings-nongaap-eps-12-10-2025-5pt4,ADBE,2025-12-10,nongaap,Non-GAAP,5.4,20.94,5.39,0.9687882934746874,0.016787441193290103,5.44,5.31
adsk-quarterly-earnings-nongaap-eps-11-25-2025-2pt5,ADSK,2025-11-25,nongaap,Non-GAAP,2.5,2.67,2.5,0.9990000000000003,0.06443225241690027,2.96,2.5
afl-quarterly-earnings-nongaap-eps-02-04-2026-1pt7,AFL,2026-02-04,nongaap,Non-GAAP,1.7,7.49,1.69,0.6922500718365024,0.25003484605635323,1.84,1.68
all-quarterly-earnings-nongaap-eps-02-04-2026-9pt86,ALL,2026-02-04,nongaap,Non-GAAP,9.86,34.83,9.72,0.8785673061171364,1.4176621279736965,11.8,10.35
all-quarterly-earnings-nongaap-eps-11-05-2025-7pt51,ALL,2025-11-05,nongaap,Non-GAAP,7.51,11.17,7.35,0.9601112885547063,1.1716758265084428,10.25,8.46
ally-quarterly-earnings-nongaap-eps-01-21-2026-1pt04,ALLY,2026-01-21,nongaap,Non-GAAP,1.04,3.81,1.03,0.8949185800849297,0.14984840824828755,1.26,1.06
ampl-quarterly-earnings-nongaap-eps-11-05-2025-0pt01,AMPL,2025-11-05,nongaap,Non-GAAP,0.01,0.02,0.01,0.7081068744344454,0.013706888336846839,0.02,0.0
amzn-quarterly-earnings-gaap-eps-02-05-2026-1pt95,AMZN,2026-02-05,gaap,GAAP,1.95,7.17,1.96,0.9496936988058303,0.15374122295716147,2.28,1.9
amzn-quarterly-earnings-gaap-eps-10-30-2025-1pt56,AMZN,2025-10-30,gaap,GAAP,1.56,1.95,1.57,0.999,0.1549975561879684,2.67,1.71
app-quarterly-earnings-gaap-eps-02-11-2026-2pt95,APP,2026-02-11,gaap,GAAP,2.95,9.75,2.95,0.8747228625705112,0.19462206479754707,3.21,2.92
app-quarterly-earnings-gaap-eps-11-05-2025-2pt39,APP,2025-11-05,gaap,GAAP,2.39,2.4505,2.42,0.8270953740649788,0.2009730119074487,2.6,2.37
aptv-quarterly-earnings-nongaap-eps-02-02-2026-1pt86,APTV,2026-02-02,nongaap,Non-GAAP,1.86,7.82,1.83,0.8712351150964547,0.09971170564394252,1.99,1.81
arcc-quarterly-earnings-nongaap-eps-10-28-2025-0pt5,ARCC,2025-10-28,nongaap,Non-GAAP,0.5,0.5,0.5,0.4123012028126422,0.03450955072018601,0.49,0.5
ares-quarterly-earnings-nongaap-eps-02-05-2026-1pt69,ARES,2026-02-05,nongaap,Non-GAAP,1.69,4.76,1.7,0.6953941790153896,0.09403416529338815,1.74,1.77
ares-quarterly-earnings-nongaap-eps-11-03-2025-1pt14,ARES,2025-11-03,nongaap,Non-GAAP,1.14,1.19,1.15,0.655662566159526,0.09346446415941227,1.18,1.19
arm-quarterly-earnings-nongaap-eps-02-04-2026-0pt41,ARM,2026-02-04,nongaap,Non-GAAP,0.41,0.43,0.41,0.8866388035066883,0.029154759474226494,0.45,0.39
arm-quarterly-earnings-nongaap-eps-11-05-2025-0pt33,ARM,2025-11-05,nongaap,Non-GAAP,0.33,0.39,0.33,0.8869174797243811,0.03090885217631257,0.37,0.3
as-quarterly-earnings-nongaap-eps-11-18-2025-0pt25,AS,2025-11-18,nongaap,Non-GAAP,0.25,0.33,0.25,0.8070947192033227,0.04760952285695234,0.3,0.22
asan-quarterly-earnings-nongaap-eps-12-02-2025-0pt06,ASAN,2025-12-02,nongaap,Non-GAAP,0.06,0.07,0.06,0.9205842865071554,0.033529724488018456,0.12,0.05
ato-quarterly-earnings-gaap-eps-11-05-2025-0pt97,ATO,2025-11-05,gaap,GAAP,0.97,7.46,0.97,0.999,0.06482493908421916,1.44,1.02
avgo-quarterly-earnings-nongaap-eps-12-11-2025-1pt87,AVGO,2025-12-11,nongaap,Non-GAAP,1.87,6.82,1.86,0.9673366488219147,0.029210832361860735,1.94,1.86
azo-quarterly-earnings-gaap-eps-12-09-2025-32pt58,AZO,2025-12-09,gaap,GAAP,32.58,31.04,32.47,0.6611040165363828,2.057292277521965,33.5,34.0
azz-quarterly-earnings-nongaap-eps-2025-10-08-1pt57,AZZ,2025-10-08,nongaap,Non-GAAP,1.57,1.55,1.58,0.8682948655412239,0.11999999999999998,1.73,1.62
ba-quarterly-earnings-nongaap-eps-10-29-2025-neg2pt38,BA,2025-10-29,nongaap,Non-GAAP,-2.38,-7.47,-2.48,0.35355864688102134,2.1384579193258104,-3.24,-2.48
bac-quarterly-earnings-gaap-eps-01-14-2026-0pt97,BAC,2026-01-14,gaap,GAAP,0.97,3.81,0.97,0.8903949752038234,0.09853471930792165,1.11,0.99
bby-quarterly-earnings-nongaap-eps-11-25-2025-1pt31,BBY,2025-11-25,nongaap,Non-GAAP,1.31,1.4,1.31,0.9780548942356596,0.14674240468703423,1.74,1.33
bfc-quarterly-earnings-gaap-eps-01-20-2026-1pt8,BFC,2026-01-20,gaap,GAAP,1.8,7.23,1.75,0.6699999195999293,0.5865325690406753,2.08,1.79
bgc-quarterly-earnings-nongaap-eps-02-12-2026-0pt29,BGC,2026-02-12,nongaap,Non-GAAP,0.29,1.18,0.29,0.5285386477172765,0.009999999999999995,0.29,0.29
bgc-quarterly-earnings-nongaap-eps-11-06-2025-0pt28,BGC,2025-11-06,nongaap,Non-GAAP,0.28,0.29,0.28,0.5017137306947077,0.009999999999999998,0.28,0.28
bird-quarterly-earnings-gaap-eps-11-06-2025-neg2pt66,BIRD,2025-11-06,gaap,GAAP,-2.66,-2.49,-2.7,0.7197870883759232,1.1187560732863762,-1.95,-2.87
bk-quarterly-earnings-nongaap-eps-01-13-2026-1pt99,BK,2026-01-13,nongaap,Non-GAAP,1.99,7.5,1.99,0.9385262466470562,0.17420599092088446,2.33,1.95
